Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Chris Harris Jr.,CB,NO,0%,0%,0%,0%,0%,98%,94%,86%,57%,65%,98%,47%,0%,bye,0%,0%,0%,0%,358,0.76
Josh Uche,DE,NE,28%,34%,8%,22%,38%,0%,0%,37%,40%,bye,0%,25%,43%,64%,44%,49%,48%,41%,356,0.38
Casey Hayward Jr.,CB,ATL,97%,73%,100%,79%,94%,78%,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,355,0.87
Tyus Bowser,LB,BAL,0%,0%,0%,0%,0%,0%,0%,0%,67%,bye,72%,60%,64%,67%,70%,70%,57%,53%,355,0.64
Efe Obada,DE,WAS,30%,43%,51%,34%,33%,36%,24%,0%,35%,30%,48%,0%,53%,bye,24%,19%,40%,63%,354,0.38
D.J. Reader,DT,CIN,67%,61%,23%,0%,0%,0%,0%,0%,0%,bye,0%,74%,73%,61%,66%,64%,0%,58%,353,0.59
Kevin Givens,DT,SF,28%,39%,47%,43%,51%,69%,39%,48%,bye,57%,49%,49%,52%,0%,0%,0%,0%,0%,350,0.48
Brandon Jones,S,MIA,100%,64%,90%,39%,97%,92%,56%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,350,0.76
Derrick Barnes,LB,DET,29%,0%,0%,33%,23%,bye,29%,26%,68%,69%,47%,36%,36%,0%,0%,25%,52%,57%,349,0.40
A.J. Epenesa,DE,BUF,54%,38%,0%,27%,55%,0%,bye,30%,37%,60%,8%,0%,37%,49%,36%,43%,0%,41%,347,0.40
Anfernee Jennings,LB,NE,0%,17%,20%,38%,33%,59%,49%,25%,45%,bye,18%,23%,24%,29%,25%,28%,25%,49%,343,0.32
Luke Masterson,LB,LV,0%,0%,0%,0%,0%,bye,0%,0%,16%,72%,5%,20%,11%,56%,68%,84%,100%,95%,342,0.52
Kerry Hyder Jr.,DT,SF,0%,29%,27%,43%,38%,36%,38%,34%,bye,45%,46%,33%,30%,39%,36%,0%,33%,31%,341,0.36
Casey Toohill,LB,WAS,43%,18%,0%,44%,41%,35%,22%,36%,26%,44%,41%,33%,53%,bye,40%,0%,42%,36%,341,0.37
Shaquill Griffin,CB,JAC,100%,100%,0%,100%,81%,99%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,336,0.97
Andrew Van Ginkel,LB,MIA,12%,0%,23%,9%,32%,38%,32%,42%,14%,36%,bye,38%,37%,20%,19%,50%,63%,39%,334,0.31
Bryan Cook,S,KC,34%,8%,13%,73%,17%,0%,32%,bye,24%,23%,57%,87%,0%,28%,14%,41%,27%,34%,334,0.33
Angelo Blackson,DT,CHI,0%,59%,61%,55%,38%,54%,60%,41%,32%,47%,0%,29%,0%,bye,7%,0%,49%,0%,333,0.44
Terrell Lewis,DE,LAR,39%,49%,58%,32%,55%,55%,bye,42%,64%,62%,51%,18%,0%,0%,0%,0%,0%,0%,332,0.48
Al Woods,DT,SEA,32%,54%,60%,45%,26%,0%,23%,32%,0%,61%,bye,45%,38%,28%,0%,0%,27%,0%,330,0.39
Jack Sanborn,LB,CHI,0%,0%,0%,0%,0%,0%,0%,22%,88%,90%,95%,100%,100%,bye,41%,0%,0%,0%,330,0.76
Arik Armstead,DT,SF,72%,69%,0%,41%,0%,0%,0%,0%,bye,0%,0%,0%,46%,67%,73%,66%,79%,0%,328,0.64
Isaiah Oliver,CB,ATL,0%,0%,0%,0%,0%,50%,56%,52%,52%,29%,41%,31%,32%,bye,0%,0%,76%,71%,328,0.49
Christian Barmore,DT,NE,55%,59%,58%,63%,56%,29%,0%,0%,0%,bye,0%,0%,0%,0%,50%,34%,46%,46%,328,0.49
Justin Ellis,DT,NYG,28%,31%,45%,53%,49%,22%,18%,0%,bye,0%,25%,23%,29%,40%,19%,15%,26%,66%,327,0.33
Jordan Phillips,DT,BUF,52%,46%,0%,0%,28%,39%,bye,55%,55%,54%,40%,46%,50%,0%,0%,24%,0%,0%,327,0.44
Sam Webb,CB,LV,0%,0%,33%,0%,33%,bye,0%,0%,22%,97%,61%,72%,61%,100%,0%,15%,0%,0%,327,0.55
Jonas Griffith,LB,DEN,58%,41%,59%,63%,37%,76%,83%,50%,bye,0%,0%,0%,0%,0%,0%,0%,0%,0%,323,0.59
Jonah Williams,DE,LAR,0%,0%,0%,0%,0%,20%,bye,0%,0%,4%,0%,32%,85%,93%,93%,54%,50%,57%,323,0.54
Nik Bonitto,DE,DEN,0%,0%,16%,0%,37%,23%,25%,58%,bye,50%,47%,44%,0%,41%,40%,37%,62%,0%,322,0.40
Jacob Phillips,LB,CLE,38%,39%,78%,100%,100%,100%,48%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,0%,320,0.72
Mike Pennel Jr.,DT,CHI,21%,34%,31%,37%,32%,23%,31%,0%,25%,35%,33%,33%,0%,bye,30%,38%,46%,42%,317,0.33
Tanoh Kpassagnon,DE,NO,0%,30%,28%,0%,0%,26%,26%,45%,46%,46%,64%,37%,41%,bye,34%,0%,0%,46%,317,0.39
Timmy Horne,DT,ATL,31%,0%,0%,23%,28%,0%,31%,25%,28%,23%,39%,47%,45%,bye,60%,71%,39%,0%,317,0.36
Jourdan Lewis,CB,DAL,79%,86%,81%,0%,100%,73%,54%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,0%,316,0.79
Tim Settle,DT,BUF,42%,0%,65%,61%,0%,0%,bye,33%,40%,24%,32%,34%,22%,34%,37%,40%,0%,26%,315,0.37
Zach Carter,DT,CIN,0%,0%,35%,38%,34%,42%,72%,74%,51%,bye,37%,0%,0%,0%,38%,21%,0%,42%,315,0.43
Daniel Ekuale,DT,NE,0%,0%,28%,30%,27%,37%,30%,41%,39%,bye,38%,0%,53%,51%,0%,37%,25%,27%,314,0.36
Azeez Al-Shaair,LB,SF,52%,39%,23%,0%,0%,0%,0%,0%,bye,53%,35%,47%,26%,14%,34%,36%,66%,92%,314,0.42
E.J. Speed,LB,IND,54%,34%,25%,33%,21%,27%,39%,13%,5%,36%,1%,26%,31%,bye,14%,37%,13%,63%,314,0.27
Emmanuel Moseley,CB,SF,100%,100%,99%,100%,83%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,0%,311,0.96
Micheal Clemons,DT,NYJ,43%,34%,28%,25%,15%,12%,20%,18%,32%,bye,29%,33%,22%,0%,34%,43%,47%,31%,311,0.29
Drake Jackson,DE,SF,29%,0%,30%,35%,45%,21%,50%,36%,bye,33%,58%,26%,20%,33%,23%,0%,23%,0%,301,0.34
T.J. Slaton,DT,GB,29%,34%,0%,24%,41%,36%,32%,37%,29%,0%,33%,34%,17%,bye,22%,40%,41%,52%,299,0.34
Tomon Fox,LB,NYG,42%,34%,0%,24%,17%,20%,48%,42%,bye,20%,34%,28%,11%,0%,0%,0%,24%,100%,299,0.34
Jonathan Bullard,DT,MIN,48%,40%,44%,28%,34%,36%,bye,0%,55%,45%,51%,56%,7%,0%,0%,0%,0%,0%,297,0.39
Nik Needham,CB,MIA,98%,44%,98%,83%,100%,25%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,297,0.78
Jermaine Johnson II,DE,NYJ,34%,33%,29%,34%,0%,0%,0%,0%,24%,bye,37%,35%,28%,41%,35%,39%,50%,38%,297,0.35
Dante Fowler Jr.,DE,DAL,16%,30%,36%,35%,45%,21%,27%,47%,bye,31%,39%,30%,0%,24%,29%,0%,29%,0%,296,0.32
Tre'Davious White,CB,BUF,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,61%,100%,100%,92%,0%,100%,292,0.92
Pat Jones II,DE,MIN,23%,25%,0%,22%,20%,47%,bye,19%,17%,23%,44%,9%,24%,36%,0%,17%,43%,71%,292,0.29
Danny Johnson,CB,WAS,0%,0%,0%,0%,0%,0%,0%,0%,76%,0%,20%,0%,45%,bye,100%,25%,100%,100%,291,0.68
Malcolm Roach,DT,NO,0%,0%,0%,0%,29%,39%,39%,34%,44%,52%,0%,46%,32%,bye,32%,23%,22%,41%,291,0.37
Reed Blankenship,S,PHI,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,3%,71%,100%,28%,0%,95%,97%,71%,291,0.66
Tre Avery,CB,TEN,0%,29%,0%,0%,0%,bye,0%,0%,2%,18%,33%,26%,81%,0%,0%,100%,99%,22%,290,0.45
Keisean Nixon,CB,GB,2%,0%,88%,53%,0%,0%,3%,2%,63%,2%,2%,82%,71%,bye,100%,14%,0%,0%,289,0.40
Joseph Ossai,DE,CIN,0%,13%,51%,31%,0%,24%,28%,35%,0%,bye,12%,14%,22%,25%,50%,62%,0%,59%,288,0.33
Emmanuel Ogbah,DE,MIA,70%,61%,76%,0%,64%,69%,0%,53%,34%,15%,bye,0%,0%,0%,0%,0%,0%,0%,287,0.55
Austin Johnson,DT,LAC,55%,61%,67%,49%,54%,59%,54%,bye,52%,0%,0%,0%,0%,0%,0%,0%,0%,0%,286,0.57
Solomon Thomas,DE,NYJ,36%,39%,0%,36%,28%,0%,35%,27%,0%,bye,0%,37%,26%,32%,34%,28%,38%,31%,285,0.33
Hassan Ridgeway,DT,SF,21%,14%,41%,42%,43%,48%,41%,38%,bye,38%,35%,44%,57%,0%,0%,0%,0%,0%,284,0.39
Darius Harris,LB,KC,23%,4%,87%,33%,69%,77%,22%,bye,0%,8%,0%,9%,24%,11%,14%,0%,17%,11%,282,0.29
Ronald Darby,CB,DEN,100%,100%,100%,100%,41%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,0%,281,0.86
Jace Whittaker,CB,ARI,13%,67%,94%,0%,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,90%,0%,95%,98%,281,0.75
Roderic Teamer,S,LV,24%,28%,48%,4%,4%,bye,0%,0%,0%,0%,50%,46%,36%,8%,46%,25%,42%,66%,281,0.33
Chad Muma,LB,JAC,10%,0%,0%,0%,19%,0%,5%,3%,8%,40%,bye,100%,76%,0%,15%,32%,40%,51%,281,0.34
Cobie Durant,DB,LAR,0%,38%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,40%,62%,65%,76%,75%,70%,281,0.61
Chris Rumph II,DE,LAC,19%,12%,57%,47%,46%,36%,0%,bye,0%,0%,31%,0%,28%,51%,34%,44%,24%,31%,279,0.36
Josh Paschal,DE,DET,0%,0%,0%,0%,0%,bye,89%,91%,81%,28%,0%,0%,27%,23%,0%,19%,48%,27%,279,0.49
David Long Jr.,CB,LAR,71%,75%,0%,0%,0%,70%,bye,0%,33%,88%,18%,36%,51%,0%,0%,0%,0%,0%,278,0.54
Marquise Copeland,DT,LAR,0%,21%,0%,0%,42%,55%,bye,0%,0%,41%,47%,32%,48%,60%,0%,0%,48%,57%,278,0.45
